id,title,genres,averageRating,numVotes,releaseYear
tt2575988,"Silicon Valley",Comedy,8.5,170086,2014
tt0487831,"The IT Crowd",Comedy,8.5,167616,2006
tt3526078,"Schitt's Creek",Comedy,8.5,152742,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,148003,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,135337,2020
tt0290978,"The Office","Comedy, Drama",8.5,125773,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104416,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94294,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,91294,1995
tt3502248,Bosch,"Crime, Drama",8.5,86202,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,83614,2022
tt1492966,Louie,"Comedy, Drama",8.5,83042,2010
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81649,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79764,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78561,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,69086,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67235,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,67083,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,67015,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66964,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65405,1972
tt7120662,"Derry Girls",Comedy,8.5,64754,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,62217,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61491,2001
tt0187664,Spaced,Comedy,8.5,58583,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57415,2004
tt2937900,"The Knick","Drama, History",8.5,53451,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,53160,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,53006,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52509,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50944,2004
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.5,50102,2016
tt0237123,Coupling,"Comedy, Romance",8.5,48341,2000
