id,title,genres,averageRating,numVotes,releaseYear
tt4667094,"Fifty Shades of Black",Comedy,3.5,23640,2016
tt10481868,"Black Christmas","Horror, Mystery, Thriller",3.5,19558,2019
tt3138104,"The Hungover Games","Adventure, Comedy, Fantasy",3.5,17260,2014
tt27785645,"Episode #1.7","Comedy, Drama, Romance",3.5,14463,2023
tt12335692,"Last Man Down","Action, Sci-Fi",3.5,14145,2021
tt0157262,"2001: A Space Travesty","Comedy, Sci-Fi",3.5,13092,2000
tt2308733,"Home Alone: The Holiday Heist","Comedy, Crime, Family",3.5,12975,2012
tt0094118,"Teen Wolf Too","Comedy, Fantasy",3.5,12697,1987
tt3053228,"Day of the Dead: Bloodline","Action, Drama, Horror",3.5,12622,2017
tt0462395,"Larry the Cable Guy: Health Inspector","Comedy, Romance",3.5,12563,2006
tt8923396,Jinn,"Drama, Fantasy, Horror",3.5,10599,2019
tt0368226,"The Room",Drama,3.6,96491,2003
tt0119707,"Mortal Kombat: Annihilation","Action, Adventure, Fantasy",3.6,58971,1997
tt8712204,Batwoman,"Action, Adventure, Crime",3.6,46905,2019
tt9196192,Cuties,Drama,3.6,32923,2020
tt0897361,"I Know Who Killed Me","Horror, Mystery, Thriller",3.6,31273,2007
tt1517489,"The Survival of Humanity","Action, Adventure, Comedy",3.6,29029,2011
tt0367093,"Starship Troopers 2: Hero of the Federation","Action, Adventure, Horror",3.6,24827,2004
tt11012066,"Home Sweet Home Alone","Comedy, Crime, Family",3.6,20810,2021
tt13439476,Kaamraj,Drama,3.6,19148,2020
tt0291502,"Swept Away","Comedy, Romance",3.6,18159,2002
tt6988116,Kalank,"Drama, Romance",3.6,17320,2019
tt22504924,"No War","Action, Drama, Short",3.6,16207,2022
tt1185266,"Stan Helsing","Comedy, Fantasy, Horror",3.6,15176,2009
tt1231277,"S. Darko","Drama, Mystery, Sci-Fi",3.6,14630,2009
tt7721946,"Housefull 4","Action, Comedy, Drama",3.6,14620,2019
tt1153706,"Dance Flick","Action, Comedy, Music",3.6,12875,2009
tt7312940,Singularity,"Action, Adventure, Drama",3.6,11762,2017
tt30007864,"The American Society of Magical Negroes","Comedy, Fantasy",3.6,10986,2024
tt9592496,Pogaru,Action,3.6,10396,2021
tt0094074,"Superman IV: The Quest for Peace","Action, Adventure, Sci-Fi",3.7,53898,1987
tt0085750,"Jaws 3-D","Adventure, Horror, Thriller",3.7,49562,1983
tt0432291,"The Fog","Horror, Mystery",3.7,39869,2005
tt0120185,"Spice World","Comedy, Family, Music",3.7,38257,1997
tt0190374,"Dungeons & Dragons","Action, Adventure, Fantasy",3.7,36709,2000
tt0158622,"The Flintstones in Viva Rock Vegas","Comedy, Family, Romance",3.7,25942,2000
tt15387026,Destiny,"Action, Adventure, Drama",3.7,25937,2024
tt0891592,"Street Fighter: The Legend of Chun-Li","Action, Crime, Fantasy",3.7,25607,2009
tt0308208,"Ballistic: Ecks vs. Sever","Action, Crime, Mystery",3.7,21278,2002
tt0283877,"American Psycho II: All American Girl","Horror, Thriller",3.7,18433,2002
tt1091617,"Expelled: No Intelligence Allowed",Documentary,3.7,12219,2008
tt5456546,"Judwaa 2","Action, Comedy, Romance",3.7,11939,2017
tt0806147,"Extreme Movie",Comedy,3.7,11669,2008
tt0800003,"Delta Farce","Action, Adventure, Comedy",3.7,11575,2007
tt3832096,"Cabin Fever","Horror, Sci-Fi, Thriller",3.7,11433,2016
tt0120389,"Turbo: A Power Rangers Movie","Action, Adventure, Family",3.7,10072,1997
tt10279472,"The Black Demon","Action, Drama, Horror",3.7,10012,2023
tt0118688,"Batman & Robin","Action, Sci-Fi",3.8,272284,1997
tt0450345,"The Wicker Man","Horror, Mystery, Thriller",3.8,72589,2006
tt0811138,"The Love Guru","Comedy, Romance, Sport",3.8,55524,2008
tt0460780,"In the Name of the King: A Dungeon Siege Tale","Action, Adventure, Fantasy",3.8,51658,2007
tt1714203,"Piranha 3DD","Comedy, Horror, Sci-Fi",3.8,46188,2012
tt0118661,"The Avengers","Action, Adventure, Sci-Fi",3.8,45919,1998
tt0275022,Crossroads,"Comedy, Drama, Romance",3.8,45151,2002
tt1530509,"The Human Centipede 2 (Full Sequence)",Horror,3.8,44325,2011
tt0424774,"The Adventures of Sharkboy and Lavagirl 3-D","Action, Adventure, Comedy",3.8,43515,2005
tt3655326,"Life Is a Dream","Documentary, Drama, Family",3.8,31264,2014
tt1467058,"Ruthless in Love","Drama, Romance, Short",3.8,31205,2009
tt0076009,"Exorcist II: The Heretic",Horror,3.8,29153,1977
tt3477064,"Recep Ivedik 4",Comedy,3.8,18899,2014
tt0094824,"Caddyshack II","Comedy, Sport",3.8,16707,1988
tt21279138,"Maid in Malacañang","Biography, Drama",3.8,15745,2022
tt1104123,"The Scorpion King 2: Rise of a Warrior","Action, Adventure, Fantasy",3.8,14891,2008
tt7897330,"Deadly Illusions","Crime, Drama, Mystery",3.8,13939,2021
tt4059702,AmeriGeddon,"Action, Adventure, Drama",3.8,13398,2016
