id,title,type,genres,averageRating,numVotes,releaseYear
tt6385540,Hilda,tvseries,"Adventure, Animation, Drama",8.6,14536,2018
tt0120570,From the Earth to the Moon,tvseries,"Action, Drama, History",8.6,13520,1998
tt1877368,The Great British Baking Show,tvseries,"Game-Show, Reality-TV",8.6,13359,2010
tt0086831,"Yes, Prime Minister",tvseries,Comedy,8.6,13339,1986
tt13634792,Mouse,tvseries,"Action, Crime, Mystery",8.6,12562,2021
tt5320412,Moon Lovers: Scarlet Heart Ryeo,tvseries,"Action, Drama, Fantasy",8.6,12360,2016
tt13400006,Mr. Queen,tvseries,"Comedy, Fantasy, Romance",8.6,11864,2020
tt0118273,Brass Eye,tvseries,Comedy,8.6,11790,1997
tt9103932,Greatest Events of WWII in Colour,tvseries,"Documentary, History, War",8.6,11529,2019
tt8254348,ImMATURE,tvseries,"Comedy, Drama, Romance",8.6,10490,2019
tt31862849,Very Parivarik,tvseries,Comedy,8.6,10415,2024
tt0426719,Hunter x Hunter,tvseries,"Action, Adventure, Animation",8.6,10243,1999
tt4580372,Merlí,tvseries,"Comedy, Drama, Romance",8.6,10229,2015
tt9304350,Fruits Basket,tvseries,"Animation, Comedy, Drama",8.6,10204,2019
tt2306299,Vikings,tvseries,"Action, Adventure, Drama",8.5,601604,2013
tt10048342,The Queen's Gambit,tvseries,Drama,8.5,586109,2020
tt0475784,Westworld,tvseries,"Drama, Mystery, Sci-Fi",8.5,541791,2016
tt1442437,Modern Family,tvseries,"Comedy, Drama, Romance",8.5,501323,2009
tt4158110,Mr. Robot,tvseries,"Crime, Drama, Thriller",8.5,429812,2015
tt5071412,Ozark,tvseries,"Crime, Drama, Thriller",8.5,358610,2017
tt6763664,The Haunting of Hill House,tvseries,"Drama, Horror, Mystery",8.5,300834,2018
tt1586680,Shameless,tvseries,"Comedy, Drama",8.5,299631,2011
tt1439629,Community,tvseries,Comedy,8.5,299446,2009
tt2243973,Hannibal,tvseries,"Crime, Drama, Horror",8.5,284158,2013
tt0149460,Futurama,tvseries,"Adventure, Animation, Comedy",8.5,266792,1999
tt1442449,Spartacus,tvseries,"Action, Adventure, Biography",8.5,261703,2010
